,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
2591,338603569,2006,197 000 km,Manuell,Diesel,1 845 kr (avgifter),06.01.2006,Forhjulsdrift,105 Hk,1 680 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
2592,337130398,2009,120 000 km,Manuell,Bensin,1 845 kr (avgifter),14.01.2009,Forhjulsdrift,80 Hk,1 217 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,800 kg
2593,338600232,2010,146 000 km,Manuell,Diesel,1 845 kr (avgifter),22.09.2010,Forhjulsdrift,105 Hk,1 465 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
2594,338584658,2005,162 000 km,Manuell,Bensin,1 845 kr (avgifter),02.12.2005,Bakhjulsdrift,116 Hk,1 415 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 100 kg
2596,338570756,2002,243 000 km,Automat,Diesel,1 845 kr (avgifter),23.05.2005,Bakhjulsdrift,177 Hk,1 620 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 900 kg
2598,338533400,2009,174 533 km,Manuell,Diesel,1 845 kr (avgifter),27.08.2009,Forhjulsdrift,131 Hk,1 613 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 600 kg
2599,338519867,2013,266 000 km,Manuell,Diesel,1 476 kr (avgifter),02.07.2013,Forhjulsdrift,104 Hk,1 530 kg,2,Kasse,5,Bruktbil til salgs,Varebil,1 500 kg
2601,337002909,2015,194 000 km,Manuell,Diesel,1 476 kr (avgifter),22.05.2015,Forhjulsdrift,90 Hk,1 320 kg,3,Stasjonsvogn,5,Bruktbil til salgs,Varebil,940 kg
2602,338491431,2009,289 000 km,Manuell,Diesel,1 845 kr (avgifter),09.02.2009,Forhjulsdrift,126 Hk,1 520 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 600 kg
2604,338461607,2007,205 000 km,Automat,Bensin,1 845 kr (avgifter),05.09.2007,Bakhjulsdrift,145 Hk,1 485 kg,5,Coupe,3,Bruktbil til salgs,Personbil,1 500 kg
2605,338444646,2007,136 450 km,Manuell,Diesel,1 845 kr (avgifter),27.09.2006,Forhjulsdrift,90 Hk,1 386 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
2606,338429216,2005,305 000 km,Automat,Diesel,1 845 kr (avgifter),17.10.2005,Firehjulsdrift,231 Hk,1 770 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 000 kg
2607,338432103,2007,168 500 km,Manuell,Bensin,1 845 kr (avgifter),07.11.2006,Forhjulsdrift,64 Hk,1 016 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
2608,338421758,2008,128 600 km,Manuell,Diesel,1 845 kr (avgifter),27.05.2008,Bakhjulsdrift,109 Hk,1 435 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
2609,338409818,2011,190 750 km,Manuell,Diesel,1 845 kr (avgifter),27.04.2011,Forhjulsdrift,95 Hk,1 263 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2610,338405401,2011,293 400 km,Manuell,Diesel,1 845 kr (avgifter),25.02.2011,Forhjulsdrift,126 Hk,1 596 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
2611,338400010,2007,145 345 km,Manuell,Bensin,1 845 kr (avgifter),27.08.2007,Forhjulsdrift,110 Hk,1 182 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
2612,338385767,2001,323 000 km,Automat,Bensin,1 845 kr (avgifter),03.07.2001,Firehjulsdrift,230 Hk,1 666 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
2614,338373876,2011,69 000 km,Manuell,Bensin,Fritatt (avgifter),04.11.2010,Forhjulsdrift,95 Hk,975 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 000 kg
2615,338378620,2010,250 000 km,Manuell,Diesel,1 845 kr (avgifter),27.09.2010,Forhjulsdrift,125 Hk,1 575 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
2622,337590051,2006,158 361 km,Automat,Bensin,1 777 kr (avgifter),12.09.2006,Firehjulsdrift,160 Hk,1 650 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 500 kg
2623,338233608,2005,348 965 km,Automat,Diesel,1 845 kr (avgifter),08.04.2005,Bakhjulsdrift,177 Hk,1 670 kg,5,Sedan,4,Bruktbil til salgs,Personbil,2 000 kg
2624,338239124,2009,189 000 km,Manuell,Diesel,1 845 kr (avgifter),29.04.2009,Forhjulsdrift,140 Hk,1 374 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 500 kg
2625,338195353,2011,208 986 km,Manuell,Diesel,1 845 kr (avgifter),29.10.2011,Forhjulsdrift,95 Hk,1 448 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 200 kg
2626,338143621,2010,193 500 km,Manuell,Diesel,1 231 kr (avgifter),09.07.2010,Forhjulsdrift,86 Hk,1 248 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 100 kg
2627,338183269,2011,131 634 km,Manuell,Diesel,3 074 kr (avgifter),27.05.2011,Forhjulsdrift,92 Hk,1 155 kg,5,Kombi 3-dørs,2,Bruktbil til salgs,Personbil,1 150 kg
2630,338138473,2010,192 000 km,Manuell,Diesel,1 845 kr (avgifter),10.05.2010,Forhjulsdrift,120 Hk,1 530 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
2633,338088002,2009,176 500 km,Manuell,Diesel,1 845 kr (avgifter),03.06.2009,Forhjulsdrift,90 Hk,1 055 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 050 kg
2634,338069624,2008,181 542 km,Manuell,Diesel,1 845 kr (avgifter),05.08.2008,Forhjulsdrift,90 Hk,1 502 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 400 kg
2635,332289615,2008,206 000 km,Automat,Diesel,1 777 kr (avgifter),21.10.2008,Forhjulsdrift,140 Hk,1 771 kg,7,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 750 kg
2636,330932995,2006,192 000 km,Manuell,Bensin,1 777 kr (avgifter),03.05.2006,Forhjulsdrift,116 Hk,1 175 kg,4,Cabriolet,2,Bruktbil til salgs,Personbil,650 kg
2637,338053306,2011,149 950 km,Manuell,Diesel,1 231 kr (avgifter),09.11.2011,Forhjulsdrift,75 Hk,1 320 kg,3,Kasse,4,Bruktbil til salgs,Varebil,760 kg
2638,318449177,2011,124 400 km,Manuell,Diesel,1 777 kr (avgifter),12.09.2011,Forhjulsdrift,92 Hk,1 160 kg,5,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,1 150 kg
2639,337997702,2010,197 219 km,Manuell,Diesel,Fritatt (avgifter),23.07.2010,Forhjulsdrift,126 Hk,1 605 kg,7,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 300 kg
2640,333042643,2013,220 464 km,Manuell,Diesel,Fritatt (avgifter),15.08.2013,Forhjulsdrift,131 Hk,1 538 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
2641,337918604,2002,440 000 km,Automat,Diesel,1 845 kr (avgifter),10.05.2002,Firehjulsdrift,165 Hk,2 220 kg,7,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,3 390 kg
2642,337880013,2009,182 575 km,Manuell,Diesel,1 845 kr (avgifter),30.01.2009,Forhjulsdrift,126 Hk,1 465 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
2643,322311489,1994,205 754 km,Manuell,Diesel,Fritatt (avgifter),03.12.1993,Forhjulsdrift,77 Hk,1 800 kg,8,Annet,4,Bruktbil til salgs,Personbil,1 800 kg
2645,337847554,2009,171 121 km,Manuell,Diesel,1 845 kr (avgifter),29.06.2009,Forhjulsdrift,109 Hk,1 350 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
2648,337719980,2012,243 000 km,Manuell,Diesel,1 845 kr (avgifter),21.10.2011,Forhjulsdrift,105 Hk,1 468 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
2649,337715965,2012,255 419 km,Manuell,Diesel,1 845 kr (avgifter),02.12.2011,Forhjulsdrift,114 Hk,1 648 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
2650,337710244,2006,197 927 km,Manuell,Diesel,1 186 kr (avgifter),06.09.2019,Bakhjulsdrift,150 Hk,1 825 kg,3,Kasse,4,Bruktbil til salgs,Varebil,2 500 kg
2651,324604335,2006,233 804 km,Automat,Diesel,1 777 kr (avgifter),17.11.2010,Forhjulsdrift,205 Hk,1 520 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 600 kg
2653,337708577,2008,220 753 km,Manuell,Diesel,1 845 kr (avgifter),10.12.2008,Forhjulsdrift,140 Hk,1 743 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 750 kg
2654,337651539,2009,251 000 km,Manuell,Diesel,1 231 kr (avgifter),14.01.2009,Forhjulsdrift,114 Hk,1 765 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
2656,337621980,2007,140 000 km,Manuell,Diesel,3 074 kr (avgifter),01.10.2007,Forhjulsdrift,90 Hk,1 055 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 050 kg
2658,337574757,2007,225 000 km,Manuell,Diesel,1 845 kr (avgifter),24.01.2007,Firehjulsdrift,140 Hk,1 550 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 000 kg
2661,337504678,2010,155 000 km,Manuell,Diesel,1 845 kr (avgifter),22.03.2010,Forhjulsdrift,109 Hk,1 335 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
2662,332520834,2012,174 561 km,Manuell,Diesel,1 422 kr (avgifter),13.03.2012,Forhjulsdrift,75 Hk,1 320 kg,3,Stasjonsvogn,5,Bruktbil til salgs,Varebil,760 kg
2666,337370749,2012,285 000 km,Manuell,Diesel,Fritatt (avgifter),08.11.2012,Forhjulsdrift,124 Hk,1 580 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 600 kg
2667,337352890,2011,204 000 km,Manuell,Diesel,Fritatt (avgifter),23.05.2011,Forhjulsdrift,116 Hk,1 572 kg,7,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 200 kg
2671,337155617,2006,193 409 km,Manuell,Diesel,Fritatt (avgifter),20.01.2006,Firehjulsdrift,129 Hk,1 665 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
2672,336967443,2004,223 000 km,Automat,Diesel,1 845 kr (avgifter),23.07.2004,Firehjulsdrift,111 Hk,1 818 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 870 kg
2673,336869584,2011,335 000 km,Manuell,Diesel,Fritatt (avgifter),25.03.2011,Firehjulsdrift,117 Hk,1 875 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
2674,336840145,2011,185 200 km,Manuell,Diesel,1 845 kr (avgifter),16.03.2011,Forhjulsdrift,110 Hk,1 571 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 400 kg
2675,336831569,2013,185 000 km,Manuell,Diesel,1 845 kr (avgifter),29.11.2012,Forhjulsdrift,105 Hk,1 356 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,300 kg
2677,336811355,2008,304 000 km,Automat,Diesel,1 845 kr (avgifter),30.09.2008,Firehjulsdrift,140 Hk,1 679 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 000 kg
2678,336808150,2011,177 400 km,Manuell,Bensin,1 845 kr (avgifter),26.05.2011,Forhjulsdrift,69 Hk,992 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
2680,336798075,2011,150 100 km,Manuell,Diesel,1 845 kr (avgifter),31.05.2011,Forhjulsdrift,116 Hk,1 400 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2683,336789059,2013,155 950 km,Manuell,Diesel,3 074 kr (avgifter),27.06.2013,Forhjulsdrift,95 Hk,1 184 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,500 kg
2684,332086680,2011,284 000 km,Manuell,Diesel,1 845 kr (avgifter),30.11.2010,Forhjulsdrift,126 Hk,1 596 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
2686,336668029,2011,114 000 km,Manuell,Diesel,1 845 kr (avgifter),28.02.2011,Forhjulsdrift,82 Hk,1 325 kg,5,Flerbruksbil,4,Bruktbil til salgs,Personbil,400 kg
2688,328422507,2007,160 000 km,Manuell,Bensin,1 186 kr (avgifter),28.08.2007,Firehjulsdrift,95 Hk,1 345 kg,2,Kasse,4,Bruktbil til salgs,Varebil,830 kg
2690,336427375,2007,160 000 km,Automat,Diesel,1 700 kr (avgifter),29.11.2007,Bakhjulsdrift,109 Hk,1 305 kg,5,Flerbruksbil,4,Bruktbil til salgs,Personbil,1 500 kg
2691,336415975,2009,169 738 km,Manuell,Bensin,1 845 kr (avgifter),15.12.2008,Bakhjulsdrift,143 Hk,1 265 kg,4,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,1 200 kg
2692,314329964,2007,322 500 km,Manuell,Diesel,1 777 kr (avgifter),02.07.2007,Firehjulsdrift,140 Hk,1 690 kg,7,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 000 kg
2693,336332763,2011,189 000 km,Manuell,Diesel,1 845 kr (avgifter),09.07.2010,Forhjulsdrift,105 Hk,1 375 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
2698,336034261,2005,208 800 km,Automat,Bensin,1 845 kr (avgifter),24.10.2005,Forhjulsdrift,179 Hk,1 553 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 600 kg
2699,335925036,2011,206 000 km,Manuell,Diesel,1 845 kr (avgifter),08.06.2011,Forhjulsdrift,114 Hk,1 494 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
2701,335738266,2013,126 651 km,Manuell,Bensin,3 074 kr (avgifter),29.01.2013,Forhjulsdrift,80 Hk,1 024 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,650 kg
2703,331257347,2007,267 400 km,Manuell,Bensin,1 845 kr (avgifter),15.04.2019,Forhjulsdrift,129 Hk,1 375 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 300 kg
2704,335499872,2004,138 000 km,Automat,Bensin,1 845 kr (avgifter),01.03.2004,Firehjulsdrift,83 Hk,985 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
2707,335287143,2003,321 080 km,Manuell,Diesel,1 845 kr (avgifter),27.11.2003,Forhjulsdrift,82 Hk,1 798 kg,9,Flerbruksbil,5,Bruktbil til salgs,Personbil,2 000 kg
2709,334909386,2009,131 000 km,Manuell,Bensin,1 845 kr (avgifter),09.07.2009,Forhjulsdrift,101 Hk,1 050 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,900 kg
2710,334827740,2007,155 000 km,Automat,Bensin,1 845 kr (avgifter),07.05.2007,Firehjulsdrift,87 Hk,995 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 000 kg
2711,334795679,2011,153 000 km,Manuell,Diesel,1 845 kr (avgifter),09.06.2011,Forhjulsdrift,95 Hk,1 546 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2714,334659900,2010,177 000 km,Manuell,Diesel,1 845 kr (avgifter),22.07.2010,Forhjulsdrift,90 Hk,1 221 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2718,334099818,2010,179 200 km,Manuell,Diesel,1 777 kr (avgifter),26.08.2010,Forhjulsdrift,112 Hk,1 421 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
2720,333888335,2004,302 000 km,Automat,Bensin,1 777 kr (avgifter),08.07.2005,Bakhjulsdrift,170 Hk,1 495 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 700 kg
2722,333867160,2013,144 000 km,Manuell,Bensin,4 305 kr (avgifter),17.06.2013,Forhjulsdrift,105 Hk,1 260 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
2724,333502812,2012,127 000 km,Manuell,Bensin,1 845 kr (avgifter),21.05.2012,Forhjulsdrift,84 Hk,1 029 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,900 kg
2732,333302677,2008,210 000 km,Manuell,Diesel,1 777 kr (avgifter),17.10.2007,Forhjulsdrift,90 Hk,1 367 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
2733,333232969,2016,245 000 km,Automat,Diesel,1 422 kr (avgifter),20.06.2016,Forhjulsdrift,99 Hk,1 333 kg,3,Kasse,4,Bruktbil til salgs,Varebil,1 250 kg
2734,323242173,2003,304 000 km,Automat,Diesel,1 777 kr (avgifter),15.01.2003,Bakhjulsdrift,150 Hk,1 565 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 900 kg
2735,326051426,2009,107 000 km,Manuell,Diesel,1 777 kr (avgifter),12.06.2009,Forhjulsdrift,109 Hk,1 387 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 150 kg
2736,332720199,2008,216 000 km,Manuell,Diesel,1 777 kr (avgifter),03.03.2008,Forhjulsdrift,106 Hk,1 482 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 200 kg
2737,332678436,2013,173 300 km,Manuell,Bensin,2 961 kr (avgifter),23.05.2013,Forhjulsdrift,84 Hk,1 087 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,900 kg
2739,332449726,2015,228 000 km,Automat,Diesel,Ikke oppgitt (avgifter),12.05.2015,Forhjulsdrift,90 Hk,1 410 kg,3,Kasse,4,Bruktbil til salgs,Varebil,990 kg
2740,332441817,2009,157 000 km,Manuell,Diesel,1 845 kr (avgifter),30.10.2009,Forhjulsdrift,90 Hk,1 470 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
2742,314805168,2007,238 000 km,Manuell,Diesel,1 777 kr (avgifter),26.08.2009,Firehjulsdrift,150 Hk,1 845 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,2 000 kg
2743,332099819,2010,128 253 km,Manuell,Diesel,Fritatt (avgifter),25.05.2010,Forhjulsdrift,68 Hk,1 178 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 150 kg
2746,331761763,2013,143 600 km,Manuell,Bensin,2 961 kr (avgifter),28.02.2013,Forhjulsdrift,82 Hk,975 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 150 kg
2749,331624277,2004,123 400 km,Manuell,Bensin,1 777 kr (avgifter),02.11.2004,Forhjulsdrift,110 Hk,1 160 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
2750,331462514,2007,150 900 km,Automat,Bensin,1 845 kr (avgifter),21.02.2007,Forhjulsdrift,109 Hk,1 393 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2757,330801927,2006,163 000 km,Automat,Bensin,1 777 kr (avgifter),02.02.2006,Forhjulsdrift,87 Hk,1 025 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,750 kg
2758,330793128,2003,235 412 km,Automat,Diesel,1 777 kr (avgifter),22.04.2004,Bakhjulsdrift,177 Hk,1 620 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 900 kg
2760,330574015,2010,106 000 km,Manuell,Diesel,1 777 kr (avgifter),18.11.2010,Forhjulsdrift,90 Hk,1 085 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 050 kg
2761,330550877,2010,193 206 km,Manuell,Diesel,1 845 kr (avgifter),27.05.2010,Forhjulsdrift,105 Hk,1 452 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
2762,330468952,2010,219 000 km,Manuell,Bensin,1 845 kr (avgifter),21.06.2010,Forhjulsdrift,99 Hk,1 250 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
2763,330349148,2011,104 000 km,Manuell,Bensin,1 777 kr (avgifter),07.06.2011,Forhjulsdrift,95 Hk,975 kg,5,Coupe,4,Bruktbil til salgs,Personbil,1 000 kg
2764,330288872,2012,216 000 km,Automat,Diesel,4 147 kr (avgifter),19.10.2012,Forhjulsdrift,111 Hk,1 423 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 090 kg
2766,330011090,2010,233 000 km,Manuell,Bensin,1 777 kr (avgifter),22.07.2009,Forhjulsdrift,95 Hk,1 320 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 000 kg
2767,329947574,2004,241 100 km,Manuell,Diesel,1 845 kr (avgifter),22.11.2004,Firehjulsdrift,143 Hk,1 917 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 688 kg
2768,329944689,2009,168 000 km,Manuell,Diesel,1 845 kr (avgifter),01.07.2009,Forhjulsdrift,105 Hk,1 395 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
2772,329012826,2012,149 800 km,Manuell,Bensin,2 961 kr (avgifter),12.12.2012,Forhjulsdrift,84 Hk,1 029 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,900 kg
2773,328902219,2012,140 000 km,Manuell,Diesel,1 750 kr (avgifter),16.02.2012,Forhjulsdrift,116 Hk,1 572 kg,7,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 200 kg
2776,328471082,2016,127 166 km,Manuell,Diesel,1 422 kr (avgifter),21.04.2016,Forhjulsdrift,75 Hk,1 309 kg,3,Stasjonsvogn,5,Bruktbil til salgs,Varebil,1 250 kg
2780,327824499,2013,248 525 km,Manuell,Diesel,4 147 kr (avgifter),29.05.2013,Forhjulsdrift,95 Hk,1 344 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 200 kg
2781,327814030,1985,112 800 km,Automat,Bensin,Fritatt (avgifter),25.10.1985,Bakhjulsdrift,136 Hk,1 300 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 300 kg
2786,325440733,2008,141 000 km,Manuell,Bensin,1 777 kr (avgifter),22.02.2012,Forhjulsdrift,120 Hk,1 065 kg,4,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,750 kg
2788,324727094,2005,139 337 km,Manuell,Diesel,1 845 kr (avgifter),23.03.2005,Firehjulsdrift,150 Hk,1 820 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 700 kg
2789,324634644,2011,268 570 km,Manuell,Diesel,1 186 kr (avgifter),30.11.2011,Forhjulsdrift,75 Hk,1 429 kg,3,Kasse,4,Bruktbil til salgs,Varebil,750 kg
2790,322840280,2012,84 000 km,Manuell,Diesel,4 147 kr (avgifter),30.01.2012,Forhjulsdrift,75 Hk,1 239 kg,5,SUV/Offroad,4,Bruktbil til salgs,Personbil,1 000 kg
2791,323571796,2011,100 900 km,Manuell,Bensin,1 777 kr (avgifter),16.09.2010,Forhjulsdrift,115 Hk,1 318 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 250 kg
2793,322265962,2012,126 000 km,Manuell,Diesel,1 231 kr (avgifter),18.12.2012,Forhjulsdrift,90 Hk,1 290 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 000 kg
2797,319260334,2012,155 700 km,Manuell,Diesel,Fritatt (avgifter),01.08.2022,Forhjulsdrift,69 Hk,1 151 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,750 kg
2798,319201401,2008,158 000 km,Manuell,Bensin,1 845 kr (avgifter),19.12.2007,Forhjulsdrift,99 Hk,930 kg,4,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
2799,318959254,2008,119 697 km,Manuell,Bensin,1 777 kr (avgifter),07.11.2008,Forhjulsdrift,83 Hk,1 114 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2800,318920402,2014,65 613 km,Manuell,Bensin,2 961 kr (avgifter),11.04.2014,Forhjulsdrift,68 Hk,845 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,700 kg
2802,316991294,2012,123 000 km,Manuell,Diesel,1 231 kr (avgifter),30.04.2012,Forhjulsdrift,90 Hk,1 290 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 000 kg
2810,308962764,1997,92 000 km,Manuell,Bensin,1 845 kr (avgifter),21.03.1997,Firehjulsdrift,116 Hk,1 160 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 200 kg
2813,261777325,2007,171 200 km,Manuell,Diesel,1 729 kr (avgifter),01.10.2010,Forhjulsdrift,109 Hk,1 110 kg,4,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,750 kg
2817,306475670,2004,378 000 km,Automat,Diesel,1 186 kr (avgifter),30.12.2004,Firehjulsdrift,160 Hk,2 110 kg,2,SUV/Offroad,5,Bruktbil til salgs,Varebil,3 300 kg
2822,301506094,2015,210 100 km,Manuell,Diesel,1 476 kr (avgifter),19.02.2015,Forhjulsdrift,90 Hk,1 320 kg,3,Kasse,5,Bruktbil til salgs,Varebil,1 160 kg
2824,299339605,2009,240 000 km,Manuell,Diesel,1 186 kr (avgifter),27.01.2009,Forhjulsdrift,116 Hk,1 820 kg,3,Pickup,2,Bruktbil til salgs,Varebil,2 800 kg
2827,294467307,2011,189 000 km,Manuell,Diesel,1 777 kr (avgifter),18.07.2011,Forhjulsdrift,105 Hk,1 468 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
2830,292292779,2007,210 000 km,Manuell,Diesel,1 777 kr (avgifter),04.06.2007,Forhjulsdrift,131 Hk,1 760 kg,7,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 750 kg
2832,282133055,2011,143 000 km,Manuell,Bensin,1 777 kr (avgifter),05.11.2010,Forhjulsdrift,69 Hk,1 020 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
2835,259663740,2006,317 000 km,Manuell,Diesel,1 231 kr (avgifter),11.04.2006,Firehjulsdrift,102 Hk,1 895 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
2838,236671649,2004,164 000 km,Manuell,Diesel,1 845 kr (avgifter),01.01.2004,Bakhjulsdrift,122 Hk,1 460 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 500 kg
2839,231026738,2010,246 000 km,Manuell,Diesel,1 729 kr (avgifter),24.03.2010,Forhjulsdrift,109 Hk,1 260 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
2852,82109999,2007,268 000 km,Manuell,Diesel,1 729 kr (avgifter),02.02.2007,Forhjulsdrift,136 Hk,1 404 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
2854,341113916,2007,165 000 km,Manuell,Diesel,1 845 kr (avgifter),23.07.2007,Forhjulsdrift,170 Hk,1 368 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 500 kg
2857,341519753,2016,232 000 km,Manuell,Diesel,1 476 kr (avgifter),08.01.2016,Forhjulsdrift,99 Hk,1 317 kg,3,Kasse,4,Bruktbil til salgs,Varebil,1 250 kg
